Country,C Television,C Police,C Courts,C Government,C Political parties,C Civil services,C Elections,Importance of democracy,Highest educational level,Age,Scale of incomes,Sex,Strong Leader,Expert Non Govt Person,Signing a petition,Joining unofficial strikes
20,3,2,2,3,3,3,2,10,6,33.0,7,2,4,1,1,2
20,4,3,3,3,3,3,3,10,1,71.0,2,2,4,1,3,2
20,3,2,3,3,3,2,3,10,2,66.0,4,1,4,2,2,2
20,1,1,1,1,3,2,2,10,1,49.0,3,2,4,4,1,3
20,3,1,1,1,3,1,,10,6,53.0,6,2,1,1,2,3
20,2,1,1,1,2,2,2,10,3,39.0,4,2,3,2,3,3
20,3,4,4,4,4,4,4,10,3,52.0,2,2,4,4,2,3
20,3,2,4,4,3,3,3,10,4,30.0,6,2,4,1,2,2
20,2,3,3,3,4,3,3,6,2,49.0,5,2,3,1,2,3
20,3,2,2,2,3,3,2,10,1,68.0,1,2,4,2,3,3
20,4,2,3,3,4,2,2,10,3,36.0,4,1,2,2,1,1
20,3,2,2,4,4,1,4,10,2,37.0,2,2,2,2,2,3
20,3,3,3,3,3,2,3,10,4,48.0,5,2,3,2,3,3
20,4,4,4,4,4,4,4,10,4,61.0,2,2,4,2,1,1
20,3,2,3,2,4,2,3,10,4,46.0,3,1,4,4,1,3
20,3,2,2,3,3,2,3,10,7,42.0,6,2,4,1,1,1
20,4,3,3,4,4,3,4,6,1,21.0,6,1,2,1,2,3
20,4,3,3,4,4,3,4,10,4,20.0,8,2,4,2,1,2
20,3,1,3,,3,2,1,10,1,50.0,3,2,4,1,1,3
20,3,,,,,,,10,1,75.0,3,2,3,2,3,3
20,4,2,4,2,4,3,4,9,4,46.0,2,2,4,2,1,2
20,3,1,1,2,2,3,1,10,1,55.0,4,2,4,3,2,2
20,3,2,2,3,3,2,3,10,3,32.0,3,2,4,1,2,2
20,3,3,3,3,3,2,3,10,4,56.0,5,1,4,2,1,2
20,1,1,1,1,1,1,1,10,0,83.0,2,2,,,3,3
20,2,2,2,2,4,2,1,9,2,67.0,1,1,3,2,3,3
20,4,3,4,4,4,2,4,10,3,32.0,7,1,4,1,3,3
20,3,4,4,4,4,4,1,10,1,51.0,4,1,4,1,3,3
20,3,2,1,2,3,2,1,10,8,45.0,8,2,4,3,1,2
20,3,2,1,1,,2,2,10,2,59.0,5,2,4,3,3,3
20,2,3,3,3,3,2,4,10,2,48.0,3,2,3,2,2,3
20,3,3,3,3,3,2,3,10,3,67.0,6,2,3,3,2,3
20,2,1,1,1,2,2,1,10,6,68.0,,1,4,4,1,3
20,4,1,1,1,1,1,1,10,1,66.0,5,1,4,4,1,1
