PC1,PC2,Cluster
-0.8735107584043478,-1.6939434234016477,1
-2.4095606143130577,-0.6662212416341214,2
1.8319534679236085,2.9984520729872948,0
0.25859368107822306,0.37367646258217024,2
2.418260364920056,-1.0736923885652447,0
-1.9061390501748032,0.22894228170536976,2
-2.0475732874621415,-1.988549669385947,1
0.2803436154394895,-2.112274328867123,1
-1.371742433527624,-2.0388475532396177,1
-0.8395542197668726,-2.6068837406470764,1
0.19103508089569246,-1.725214393775601,1
-0.7092665542564631,-0.15944744324437723,1
-2.9048659626871456,-1.1643962656576075,1
-3.3189465355830374,1.1462046275154905,2
1.6342753348543195,-0.05368219657802883,0
-0.536794740963684,0.31442125514808655,2
-0.7777225373294442,-0.6948580682631006,1
2.593788557314867,0.6911447358050791,0
-1.4315458412416175,0.6167450754089268,2
-3.937153733028756,-0.24756626050597866,2
1.2624086868868618,0.06208695272641727,0
0.17191536279086858,1.361281393316762,2
1.803622850295422,-1.9686674528811192,1
1.3997450290243825,-0.6980011330027763,0
1.4221105961450173,-1.4682362173697558,1
-0.422632897460672,-2.359990782116431,1
-1.3616991067280113,-0.7090399800499934,1
0.24137199350114677,-1.7309100935899746,1
-1.0191782539741188,-0.8625592382437446,1
-0.3250905053708653,-2.22248959329939,1
-0.8910168746269069,-2.4188645316222015,1
3.7578118108061282,-0.5570125705457678,0
-1.877415846611429,-2.366682184997279,1
1.4338630616181647,-0.712473453144835,0
-0.9878167224487288,1.171500790014821,2
-1.1719746203491543,-1.1369525836933074,1
-1.4901174083374806,-1.6554403569823084,1
-0.08509773763366156,-0.9663903890659074,1
-0.43586159832174587,-1.1263206219567954,1
-0.8672413784976045,-2.5398326064504024,1
5.119670375941222,2.020094090148072,0
-1.0920320334648181,-1.7489409767790913,1
1.598495744434467,-1.0500135201201999,0
2.7786951948235368,-0.050662539661792204,0
-1.5783243677179561,-2.047399520651612,1
-0.7054157689345049,1.13531680477452,2
0.5795127325929448,0.4808761495628784,0
-1.0443961286081789,0.9599401593607302,2
-0.9421645157032851,-2.329716744972836,1
-0.11522104169983098,-1.734339922846699,1
-1.8232937998627028,-2.3603440018453203,1
-1.8985621788656393,2.691175173221059,2
-2.8019892983190102,-2.795903472827861,1
-0.6877092013209647,-2.2433330338526933,1
1.6029993867404146,1.4790114215477799,0
1.6608173924670264,-1.7035458303701514,1
2.0460372813514915,0.620258385999384,0
-1.0266689832525873,-0.41868903809824476,1
-1.957856995786936,-1.5232227137799181,1
-0.5006409818543678,-1.8433697591073397,1
0.5541191357003207,-1.0764471940692721,1
2.5709241592299987,2.9590985830218384,0
0.5253983774210988,-0.17765387017734827,1
1.0713554205550144,-0.49729010406732466,0
-2.248096921715881,0.39734565022314444,2
-1.3184403984646949,0.26958816341770764,2
-0.668430253370164,0.06662300201499735,2
0.6203055073646401,-0.00914241235162213,0
0.22452701243656473,1.487010218191257,2
1.1808626400535023,-0.16951923504213104,0
0.3698038433372647,0.4081255681286305,0
0.19134852397597052,-2.366197671834737,1
3.4798292817581156,-1.5755861597489016,0
-1.4313571319775347,-0.3797726367369906,2
-1.5632832535508274,-1.8902993183566232,1
3.4540578921826075,0.19121383765569241,0
-0.6322101534655524,1.1394558120384215,2
-2.8412869712577753,0.9428146072111173,2
-1.779770412694758,-0.5855556002094621,1
4.778524241363069,-0.7576842650106461,0
2.022430907430653,0.4897549603561141,0
1.5803809774308526,-2.3322785256080913,1
1.4614381796760694,-1.7634454285862486,1
1.9121663668837616,0.9601731792905236,0
0.6980134096171996,1.595100063609434,0
